,id,gender,own_car,own_house,income,income_type,education,family_status,housing_type,occupation_type,count_fam_mem,years_employed,age,total_due_months,status
6783,5026012,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6784,5026013,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6785,5026014,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6786,5026015,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6787,5026018,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6788,5026019,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6789,5026020,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6790,5026021,F,N,Y,81000.0,Working,Secondary education,Married,Own House,Others,2,12.35,54.5,3,0
6791,5026023,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,4,0.4,34.8,29,1
6792,5026032,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6793,5026033,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6794,5026034,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6795,5026035,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6796,5026036,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6797,5026037,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6798,5026038,M,Y,Y,99000.0,Working,Secondary education,Married,Rented apartment,Managers,2,4.2,27.2,12,0
6799,5026053,M,Y,Y,276750.0,Working,Higher education,Married,Own House,Core staff,3,5.0,29.0,5,1
6800,5026054,M,Y,Y,276750.0,Working,Higher education,Married,Own House,Core staff,3,5.0,29.0,12,1
6801,5026055,M,Y,Y,276750.0,Working,Higher education,Married,Own House,Core staff,3,5.0,29.0,18,1
6802,5026086,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,11,0
6803,5026087,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6804,5026088,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6805,5026089,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6806,5026090,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6807,5026091,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6808,5026093,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6809,5026094,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,12,0
6810,5026095,F,N,Y,67500.0,Working,Secondary education,Widow,Own House,Others,1,12.35,56.1,11,0
6811,5026096,F,N,Y,112500.0,Pensioner,Secondary education,Civil marriage,Own House,Unemployed,2,0.0,58.1,13,0
6812,5026097,F,N,Y,112500.0,Pensioner,Secondary education,Civil marriage,Own House,Unemployed,2,0.0,58.1,22,0
6813,5026101,F,N,Y,112500.0,Pensioner,Secondary education,Civil marriage,Own House,Unemployed,2,0.0,58.1,24,0
6814,5026113,F,N,Y,90000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,2.3,27.7,3,1
6815,5026118,F,N,Y,270000.0,Commercial associate,Higher education,Married,Own House,Accountants,2,7.5,57.7,22,0
6816,5026119,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,29,1
6817,5026120,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,29,1
6818,5026121,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,12,0
6819,5026122,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,24,1
6820,5026123,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,17,1
6821,5026124,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,12,0
6822,5026125,M,Y,Y,225000.0,Working,Secondary education,Married,Own House,High skill tech staff,2,12.35,44.6,43,1
6823,5026126,M,Y,Y,202500.0,Commercial associate,Secondary education,Married,Own House,Others,2,12.35,35.9,5,0
6824,5026127,M,Y,Y,202500.0,Commercial associate,Secondary education,Married,Own House,Others,2,12.35,35.9,5,0
6825,5026128,M,Y,Y,202500.0,Commercial associate,Secondary education,Married,Own House,Others,2,12.35,35.9,5,0
6826,5026129,M,Y,Y,202500.0,Commercial associate,Secondary education,Married,Own House,Others,2,12.35,35.9,8,0
6827,5026132,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,10,0
6828,5026133,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,10,0
6829,5026134,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,10,0
6830,5026137,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,10,0
6831,5026143,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,10,0
6832,5026144,F,N,N,180000.0,Commercial associate,Secondary education,Married,Own House,Managers,2,12.35,65.0,5,0
6833,5026145,F,N,Y,180000.0,Commercial associate,Higher education,Civil marriage,Own House,Sales staff,2,0.9,47.9,2,0
6834,5026146,F,N,Y,202500.0,Commercial associate,Higher education,Civil marriage,Own House,Core staff,3,4.5,37.1,3,0
6835,5026147,F,N,Y,202500.0,Commercial associate,Higher education,Civil marriage,Own House,Core staff,3,4.5,37.1,4,0
6836,5026148,F,N,Y,202500.0,Commercial associate,Higher education,Civil marriage,Own House,Core staff,3,4.5,37.1,4,0
6837,5026149,F,N,Y,202500.0,Commercial associate,Higher education,Civil marriage,Own House,Core staff,3,4.5,37.1,4,0
6838,5026150,F,N,Y,157500.0,State servant,Secondary education,Married,Own House,Managers,3,7.8,45.0,5,0
6839,5026151,F,N,Y,157500.0,State servant,Secondary education,Married,Own House,Managers,3,7.8,45.0,8,0
6840,5026152,F,N,Y,157500.0,State servant,Secondary education,Married,Own House,Managers,3,7.8,45.0,5,0
6841,5026153,F,N,Y,157500.0,State servant,Secondary education,Married,Own House,Managers,3,7.8,45.0,5,0
6842,5026154,F,N,Y,157500.0,State servant,Secondary education,Married,Own House,Managers,3,7.8,45.0,8,0
6843,5026155,F,N,Y,67500.0,Commercial associate,Secondary education,Married,Own House,Accountants,3,9.2,32.6,14,1
6844,5026156,F,N,Y,67500.0,Commercial associate,Secondary education,Married,Own House,Accountants,3,9.2,32.6,14,1
6845,5026158,F,Y,Y,276750.0,Working,Higher education,Separated,Own House,Accountants,1,10.2,36.0,5,0
6846,5026159,F,Y,Y,276750.0,Working,Higher education,Separated,Own House,Accountants,1,10.2,36.0,5,0
6847,5026160,F,Y,Y,276750.0,Working,Higher education,Separated,Own House,Accountants,1,10.2,36.0,5,0
6848,5026161,F,Y,Y,276750.0,Working,Higher education,Separated,Own House,Accountants,1,10.2,36.0,5,0
6849,5026162,F,Y,Y,276750.0,Working,Higher education,Separated,Own House,Accountants,1,10.2,36.0,5,0
6850,5026163,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6851,5026164,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6852,5026165,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6853,5026166,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6854,5026167,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6855,5026168,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6856,5026169,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6857,5026170,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6858,5026171,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6859,5026172,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6860,5026173,M,Y,Y,225000.0,Pensioner,Higher education,Married,Own House,Unemployed,2,0.0,66.2,2,0
6861,5026175,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6862,5026176,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6863,5026177,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6864,5026178,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6865,5026179,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6866,5026180,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6867,5026181,M,Y,Y,135000.0,Working,Secondary education,Married,Own House,Laborers,2,12.35,52.5,3,1
6868,5026188,M,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,2.5,49.2,19,1
6869,5026189,M,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,2.5,49.2,19,1
6870,5026190,M,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,2.5,49.2,10,0
6871,5026191,M,Y,Y,270000.0,Commercial associate,Secondary education,Married,Own House,Laborers,2,2.5,49.2,18,0
6872,5026193,F,N,Y,90000.0,Pensioner,Higher education,Single / not married,Own House,Unemployed,1,0.0,60.2,5,0
6873,5026194,F,N,Y,90000.0,Pensioner,Higher education,Single / not married,Own House,Unemployed,1,0.0,60.2,5,0
6874,5026195,F,N,Y,90000.0,Pensioner,Higher education,Single / not married,Own House,Unemployed,1,0.0,60.2,5,0
6875,5026199,F,N,Y,90000.0,Pensioner,Higher education,Single / not married,Own House,Unemployed,1,0.0,60.2,5,0
6876,5026200,M,N,Y,112500.0,Working,Secondary education,Married,Own House,Low-skill Laborers,2,9.5,51.7,8,0
6877,5026201,M,N,Y,112500.0,Working,Secondary education,Married,Own House,Low-skill Laborers,2,9.5,51.7,5,0
6878,5026207,M,Y,N,276750.0,State servant,Secondary education,Married,Rented apartment,Managers,3,12.35,42.2,14,0
6879,5026208,M,Y,N,276750.0,State servant,Secondary education,Married,Rented apartment,Managers,3,12.35,42.2,14,0
6880,5026209,M,Y,N,276750.0,State servant,Secondary education,Married,Rented apartment,Managers,3,12.35,42.2,14,0
6881,5026213,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6882,5026214,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6883,5026215,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6884,5026216,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6885,5026217,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6886,5026219,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,8,1
6887,5026220,F,N,Y,171000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,63.4,5,1
6888,5026224,M,Y,Y,225000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.0,66.4,12,0
6889,5026225,M,Y,Y,225000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.0,66.4,3,0
6890,5026226,M,Y,Y,225000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.0,66.4,11,0
6891,5026231,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6892,5026232,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6893,5026233,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6894,5026234,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6895,5026235,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6896,5026236,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6897,5026237,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,2,0
6898,5026238,F,Y,N,225000.0,Commercial associate,Secondary education,Married,Own House,Sales staff,2,7.9,41.4,1,0
6899,5026243,F,N,Y,135000.0,Working,Secondary education,Married,Own House,Low-skill Laborers,4,4.3,39.3,5,0
6900,5026244,F,N,Y,135000.0,Working,Secondary education,Married,Own House,Low-skill Laborers,4,4.3,39.3,5,0
6901,5026245,F,N,Y,135000.0,Working,Secondary education,Married,Own House,Low-skill Laborers,4,4.3,39.3,5,0
6902,5026246,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6903,5026247,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6904,5026248,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6905,5026249,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6906,5026251,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6907,5026252,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6908,5026253,F,N,N,135000.0,Pensioner,Higher education,Widow,Own House,Unemployed,1,0.0,58.2,5,1
6909,5026273,F,N,Y,112500.0,Working,Secondary education,Married,Own House,Laborers,4,1.5,38.2,2,0
6910,5026274,F,N,Y,112500.0,Working,Secondary education,Married,Own House,Laborers,4,1.5,38.2,2,0
6911,5026275,F,N,Y,112500.0,Working,Secondary education,Married,Own House,Laborers,4,1.5,38.2,2,0
6912,5026276,F,N,Y,112500.0,Working,Secondary education,Married,Own House,Laborers,4,1.5,38.2,2,0
6913,5026297,F,N,Y,90000.0,Working,Secondary education,Married,Own House,Sales staff,2,11.2,54.9,5,0
6914,5026309,M,Y,Y,135000.0,Commercial associate,Secondary education,Married,Own House,Laborers,4,6.2,37.2,5,0
6915,5026314,M,Y,N,135000.0,Commercial associate,Higher education,Married,Own House,Managers,3,7.8,43.5,16,0
6916,5026335,F,N,Y,157500.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,60.3,5,0
6917,5026364,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6918,5026365,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6919,5026366,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6920,5026367,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6921,5026368,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6922,5026369,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6923,5026370,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,4,0
6924,5026371,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6925,5026373,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6926,5026374,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6927,5026376,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6928,5026377,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6929,5026378,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6930,5026379,M,N,Y,112500.0,Working,Higher education,Married,Own House,Others,3,12.35,37.5,5,0
6931,5026382,F,N,Y,135000.0,State servant,Higher education,Married,Own House,Others,2,7.5,34.1,19,1
6932,5026383,F,N,Y,135000.0,State servant,Higher education,Married,Own House,Others,2,7.5,34.1,19,1
6933,5026384,F,N,Y,135000.0,State servant,Higher education,Married,Own House,Others,2,7.5,34.1,11,0
6934,5026389,F,N,Y,58500.0,State servant,Secondary education,Single / not married,Own House,Core staff,1,12.35,53.6,16,0
6935,5026390,F,N,Y,58500.0,State servant,Secondary education,Single / not married,Own House,Core staff,1,12.35,53.6,16,0
6936,5026393,F,N,Y,58500.0,State servant,Secondary education,Single / not married,Own House,Core staff,1,12.35,53.6,16,0
6937,5026394,F,N,Y,58500.0,State servant,Secondary education,Single / not married,Own House,Core staff,1,12.35,53.6,5,0
6938,5026406,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,58.8,18,0
6939,5026408,F,N,N,90000.0,Working,Secondary education,Married,Own House,Medicine staff,2,2.2,47.2,8,0
6940,5026418,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6941,5026419,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6942,5026420,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6943,5026421,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6944,5026425,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6945,5026426,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6946,5026427,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6947,5026428,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6948,5026429,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6949,5026430,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6950,5026431,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6951,5026432,F,Y,Y,108000.0,Working,Secondary education,Married,Municipal apartment,Core staff,2,12.35,52.9,5,0
6952,5026452,M,N,Y,90000.0,Commercial associate,Secondary education,Single / not married,Own House,Core staff,1,8.8,33.9,3,1
6953,5026453,M,N,Y,90000.0,Commercial associate,Secondary education,Single / not married,Own House,Core staff,1,8.8,33.9,3,1
6954,5026454,M,N,Y,90000.0,Commercial associate,Secondary education,Single / not married,Own House,Core staff,1,8.8,33.9,3,1
6955,5026455,F,N,Y,112500.0,Working,Secondary education,Married,Own House,High skill tech staff,3,10.0,40.1,13,0
6956,5026457,F,N,Y,112500.0,Working,Secondary education,Married,Own House,High skill tech staff,3,10.0,40.1,13,0
6957,5026463,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6958,5026464,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6959,5026465,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6960,5026466,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6961,5026467,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6962,5026468,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6963,5026469,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,2,0
6964,5026470,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,8,0
6965,5026471,F,N,Y,270000.0,Working,Secondary education,Married,Own House,Realty agents,3,7.5,45.5,5,0
6966,5026472,F,Y,Y,126000.0,Working,Secondary education,Married,Own House,Low-skill Laborers,3,1.4,22.1,2,0
6967,5026473,F,Y,Y,225000.0,Working,Secondary education,Married,Own House,Laborers,2,8.6,45.2,5,1
6968,5026474,F,Y,Y,225000.0,Working,Secondary education,Married,Own House,Laborers,2,8.6,45.2,10,1
6969,5026475,F,Y,Y,225000.0,Working,Secondary education,Married,Own House,Laborers,2,8.6,45.2,10,1
6970,5026477,F,Y,Y,225000.0,Working,Secondary education,Married,Own House,Laborers,2,8.6,45.2,10,1
6971,5026478,F,Y,Y,225000.0,Working,Secondary education,Married,Own House,Laborers,2,8.6,45.2,10,1
6972,5026488,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6973,5026489,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6974,5026490,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6975,5026491,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6976,5026492,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6977,5026493,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6978,5026494,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6979,5026496,F,N,Y,225000.0,Commercial associate,Higher education,Married,Own House,Managers,3,5.0,43.1,10,0
6980,5026497,F,N,Y,225000.0,Working,Secondary education,Separated,Own House,Laborers,1,3.1,47.2,5,0
6981,5026498,F,N,Y,225000.0,Working,Secondary education,Separated,Own House,Laborers,1,3.1,47.2,8,0
6982,5026500,F,N,Y,225000.0,Working,Secondary education,Separated,Own House,Laborers,1,3.1,47.2,8,0
6983,5026501,F,N,Y,225000.0,Working,Secondary education,Separated,Own House,Laborers,1,3.1,47.2,8,0
6984,5026502,F,N,Y,225000.0,Working,Secondary education,Separated,Own House,Laborers,1,3.1,47.2,8,0
6985,5026507,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6986,5026508,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6987,5026510,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6988,5026511,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6989,5026512,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6990,5026513,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6991,5026514,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6992,5026515,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6993,5026516,F,Y,Y,112500.0,Working,Secondary education,Married,Own House,Sales staff,4,0.3,35.7,2,0
6994,5026524,F,N,Y,126000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.2,44.1,4,0
6995,5026525,F,N,Y,126000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.2,44.1,4,0
6996,5026526,F,N,Y,126000.0,Commercial associate,Secondary education,Married,Own House,Low-skill Laborers,2,1.2,44.1,4,0
6997,5026527,F,Y,Y,99000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.0,5,0
6998,5026528,F,Y,Y,99000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.0,5,0
6999,5026529,F,Y,Y,99000.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,61.0,5,0
7000,5026533,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7001,5026534,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7002,5026535,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7003,5026536,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7004,5026537,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7005,5026538,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7006,5026539,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7007,5026540,F,N,Y,112500.0,Working,Secondary education,Single / not married,Own House,High skill tech staff,1,3.8,43.4,4,0
7008,5026542,M,N,Y,202500.0,Working,Secondary education,Single / not married,Own House,Others,2,7.6,44.9,5,1
7009,5026543,M,N,Y,202500.0,Working,Secondary education,Single / not married,Own House,Others,2,7.6,44.9,5,1
7010,5026544,M,N,Y,202500.0,Working,Secondary education,Single / not married,Own House,Others,2,7.6,44.9,5,1
7011,5026545,F,N,Y,135000.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,66.6,17,0
7012,5026546,F,N,Y,135000.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,66.6,17,0
7013,5026547,F,N,Y,135000.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,66.6,14,0
7014,5026548,F,N,Y,135000.0,Pensioner,Secondary education,Widow,Own House,Unemployed,1,0.0,66.6,5,0
7015,5026550,F,Y,N,180000.0,Working,Secondary education,Married,Own House,Others,2,3.6,28.4,5,0
7016,5026551,F,Y,N,180000.0,Working,Secondary education,Married,Own House,Others,2,3.6,28.4,5,0
7017,5026552,F,Y,N,180000.0,Working,Secondary education,Married,Own House,Others,2,3.6,28.4,5,0
7018,5026553,F,Y,N,180000.0,Working,Secondary education,Married,Own House,Others,2,3.6,28.4,5,0
7019,5026555,F,Y,N,180000.0,Working,Secondary education,Married,Own House,Others,2,3.6,28.4,4,0
7020,5026556,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,59.4,19,0
7021,5026557,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,59.4,19,0
7022,5026558,F,N,Y,112500.0,Pensioner,Secondary education,Married,Own House,Unemployed,2,0.0,59.4,19,0
7023,5026559,M,N,Y,99000.0,Commercial associate,Secondary education,Single / not married,Own House,Laborers,2,12.35,52.0,14,0
7024,5026560,M,N,Y,99000.0,Commercial associate,Secondary education,Single / not married,Own House,Laborers,2,12.35,52.0,13,0
7025,5026574,F,Y,Y,157500.0,Pensioner,Secondary education,Civil marriage,Own House,Unemployed,2,0.0,62.9,23,0
7026,5026575,F,N,Y,81000.0,Pensioner,Secondary education,Separated,Own House,Unemployed,1,0.0,61.5,5,0
7027,5026576,F,N,Y,81000.0,Pensioner,Secondary education,Separated,Own House,Unemployed,1,0.0,61.5,5,0
